schemaname,tablename,indexname,indexdef
public,sent_messages,idx_sent_messages_client,CREATE INDEX idx_sent_messages_client ON public.sent_messages USING btree (client_id)
public,sent_messages,idx_sent_messages_status_client,"CREATE INDEX idx_sent_messages_status_client ON public.sent_messages USING btree (client_id, status) WHERE (status = 'pending'::text)"
public,sent_messages,idx_sent_messages_message_key,CREATE UNIQUE INDEX idx_sent_messages_message_key ON public.sent_messages USING btree (message_key)
public,sent_messages,sent_messages_pkey,CREATE UNIQUE INDEX sent_messages_pkey ON public.sent_messages USING btree (id)
public,signal_performance,signal_performance_pkey,"CREATE UNIQUE INDEX signal_performance_pkey ON public.signal_performance USING btree (product, signal)"
public,signal_performance,idx_signal_performance_brand,CREATE INDEX idx_signal_performance_brand ON public.signal_performance USING btree (brand_id)
public,signal_performance,idx_unique_signal_brand,"CREATE UNIQUE INDEX idx_unique_signal_brand ON public.signal_performance USING btree (brand_id, signal)"
public,signal_source_performance,signal_source_performance_pkey,CREATE UNIQUE INDEX signal_source_performance_pkey ON public.signal_source_performance USING btree (id)
public,suppression_list,idx_suppression_list_domain,CREATE INDEX idx_suppression_list_domain ON public.suppression_list USING btree (domain)
public,suppression_list,idx_suppression_list_email,CREATE INDEX idx_suppression_list_email ON public.suppression_list USING btree (email)
public,suppression_list,idx_suppression_list_client,CREATE INDEX idx_suppression_list_client ON public.suppression_list USING btree (client_id)
public,suppression_list,suppression_list_pkey,CREATE UNIQUE INDEX suppression_list_pkey ON public.suppression_list USING btree (id)
public,system_flags,system_flags_pkey,CREATE UNIQUE INDEX system_flags_pkey ON public.system_flags USING btree (key)
public,system_flags,system_flags_client_id_key,CREATE UNIQUE INDEX system_flags_client_id_key ON public.system_flags USING btree (client_id)
public,system_health,system_health_pkey,CREATE UNIQUE INDEX system_health_pkey ON public.system_health USING btree (id)
public,webhook_deliveries,webhook_deliveries_pkey,CREATE UNIQUE INDEX webhook_deliveries_pkey ON public.webhook_deliveries USING btree (id)
